system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,NDVI,class,.geo
2_66_0,0.1776,0.1013,0.0576,0.0809,0.0691,0.1019,0.2423,0.3337,0.3449,0.6661836,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.9238456843496,33.14554328003584]}"
2_67_0,0.2343,0.1193,0.0595,0.0859,0.0545,0.1237,0.2531,0.3649,0.3796,0.7489058,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.95268160496984,33.14841788894502]}"
2_68_0,0.1907,0.0937,0.0519,0.0716,0.0596,0.1032,0.2494,0.347,0.3775,0.72729355,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.89105717647924,33.124702365444264]}"
2_69_0,0.2138,0.0903,0.0487,0.0692,0.0521,0.0924,0.2414,0.323,0.3175,0.7180736,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.88126553988234,33.128295626580744]}"
2_70_0,0.1879,0.1081,0.0602,0.0789,0.0733,0.1086,0.2528,0.3453,0.358,0.6600974,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.88917071438259,33.146441595319956]}"
2_71_0,0.2054,0.10305,0.05825,0.07865,0.0587,0.1097,0.257,0.36825,0.3597,0.71940726,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.97927173737978,33.13368551828546]}"
2_72_0,0.1973,0.10525,0.04935,0.0741,0.051,0.1049,0.28325,0.37375,0.40215,0.77490896,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.92725928242925,33.11715651705766]}"
2_73_0,0.1979,0.10375,0.04995,0.07325,0.0555,0.10925,0.25165,0.3176,0.3326,0.7139912,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.91845579264488,33.11464123426212]}"
2_74_0,0.2292,0.1276,0.0609,0.0818,0.0703,0.1315,0.244,0.3468,0.3854,0.6914637,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.92348635823595,33.16719267838312]}"
2_75_0,0.2644,0.1536,0.0641,0.0932,0.0766,0.1376,0.3277,0.383,0.3813,0.6654291,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.88961987202464,33.17177408633213]}"
